Designator,Mid X,Mid Y,Layer,Rotation
C1,15.2,61.22,Top,90
C2,10.62,61.17,Top,90
C3,76.84,66.42,Top,180
C4,76.33,69.6,Top,180
C5,23.5,57.79,Top,0
C6,23.47,76.52,Top,0
C7,23.49,66.09,Top,0
C8,23.47,71.32,Top,0
C9,70.23,78.61,Top,0
C10,70.23,83.57,Top,0
C11,31.48,74.78,Top,0
C12,32.14,57.78,Top,0
C13,36.47,74.64,Top,0
C14,36.34,57.75,Top,0
C15,7.73,79.67,Top,90
C16,55.58,67.87,Top,180
C17,46.84,86.77,Top,0
C18,46.46,69.1,Top,270
C19,46.8,89.34,Top,180
C20,50.91,86.82,Top,0
C21,56.75,77.47,Top,180
C22,56.76,79.34,Top,0
C23,61.2,79.55,Top,0
C24,56.68,81.67,Top,180
C25,56.8,73.41,Top,180
C26,56.77,85.98,Top,0
C27,56.77,83.69,Top,0
C28,6.99,74.93,Top,0
C29,8.51,90.04,Top,180
C30,60.11,61.75,Top,180
C31,17.91,79.63,Top,90
C32,19.18,90.04,Top,180
C44,17.38,75.69,Top,180
IC2,12.3,66.6,Top,0
IC3,62.5,65.76,Top,180
IC4,34.12,66.61,Top,90
L1,70.36,88.39,Top,180
L2,51.44,89.41,Top,0
Q1,61.26,76.46,Top,180
Q2,17.3,72.5,Top,0
R1,12.91,61.17,Top,270
R2,12.92,56.5,Top,90
R3,10.62,56.53,Top,90
R4,23.42,60.41,Top,0
R5,23.45,63.1,Top,0
R6,23.52,68.67,Top,0
R7,23.45,73.81,Top,0
R8,31.48,71.33,Top,0
R9,32.14,61.18,Top,0
R10,36.47,77.99,Top,180
R11,36.46,71.26,Top,0
R12,42.71,87.93,Top,90
R13,36.35,61.16,Top,0
R14,14.53,84.01,Top,0
R15,10.63,79.65,Top,270
R16,61.26,73.51,Top,180
R17,37.12,87.89,Top,270
R18,56.78,75.57,Top,0
R19,40.02,87.89,Top,90
R20,55.57,70.04,Top,180
R21,56.76,88.41,Top,180
R22,51.56,92.58,Top,180
R23,32.26,54.23,Top,180
R24,6.86,72.39,Top,0
R25,62.61,70.1,Top,180
R26,64.77,61.72,Top,180
R27,13.21,73.91,Top,270
R28,10.67,73.91,Top,270
R30,21.72,78.49,Top,180
R31,21.72,80.77,Top,180
R33,14.61,87.5,Top,0
R34,19.05,87.5,Top,0
R35,36.96,99.19,Top,90
U1,47.78,79.06,Top,90
U3,8.76,86.61,Top,270
U4,79.24,84.45,Top,0
U10,14.34,79.63,Top,180
Y1,50.67,69.47,Top,90